Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.4633', 'grad_norm': '7.616', 'learning_rate': '8.372e-06', 'epoch': '0.3983'}
{'loss': '0.4725', 'grad_norm': '18.23', 'learning_rate': '8.353e-06', 'epoch': '0.402'}
{'loss': '0.4816', 'grad_norm': '13.32', 'learning_rate': '8.335e-06', 'epoch': '0.4057'}
{'eval_loss': '0.4519', 'eval_wer': '0.3388', 'eval_runtime': '29.79', 'eval_samples_per_second': '47.9', 'eval_steps_per_second': '6.009', 'epoch': '0.4057'}
{'loss': '0.4928', 'grad_norm': '8.726', 'learning_rate': '8.316e-06', 'epoch': '0.4094'}
{'loss': '0.4641', 'grad_norm': '19.83', 'learning_rate': '8.298e-06', 'epoch': '0.4131'}
{'loss': '0.4375', 'grad_norm': '10.65', 'learning_rate': '8.279e-06', 'epoch': '0.4168'}
{'loss': '0.4285', 'grad_norm': '18.05', 'learning_rate': '8.261e-06', 'epoch': '0.4205'}
{'loss': '0.4539', 'grad_norm': '5.918', 'learning_rate': '8.242e-06', 'epoch': '0.4242'}
{'loss': '0.4836', 'grad_norm': '24.37', 'learning_rate': '8.224e-06', 'epoch': '0.4279'}
{'loss': '0.4551', 'grad_norm': '26.96', 'learning_rate': '8.205e-06', 'epoch': '0.4315'}
{'loss': '0.4515', 'grad_norm': '6.146', 'learning_rate': '8.187e-06', 'epoch': '0.4352'}
{'loss': '0.4323', 'grad_norm': '9.496', 'learning_rate': '8.168e-06', 'epoch': '0.4389'}
{'loss': '0.4253', 'grad_norm': '6.965', 'learning_rate': '8.15e-06', 'epoch': '0.4426'}
{'eval_loss': '0.3984', 'eval_wer': '0.3144', 'eval_runtime': '29.62', 'eval_samples_per_second': '48.17', 'eval_steps_per_second': '6.043', 'epoch': '0.4426'}
{'loss': '0.421', 'grad_norm': '6.453', 'learning_rate': '8.131e-06', 'epoch': '0.4463'}
{'loss': '0.434', 'grad_norm': '25.29', 'learning_rate': '8.113e-06', 'epoch': '0.45'}
{'loss': '0.458', 'grad_norm': '16.08', 'learning_rate': '8.094e-06', 'epoch': '0.4537'}
{'loss': '0.4377', 'grad_norm': '8.142', 'learning_rate': '8.076e-06', 'epoch': '0.4574'}
{'loss': '0.4222', 'grad_norm': '24.11', 'learning_rate': '8.057e-06', 'epoch': '0.4611'}
{'loss': '0.3942', 'grad_norm': '12.67', 'learning_rate': '8.039e-06', 'epoch': '0.4647'}
{'loss': '0.4149', 'grad_norm': '12.77', 'learning_rate': '8.02e-06', 'epoch': '0.4684'}
{'loss': '0.4221', 'grad_norm': '20.01', 'learning_rate': '8.002e-06', 'epoch': '0.4721'}
{'loss': '0.4185', 'grad_norm': '10.45', 'learning_rate': '7.983e-06', 'epoch': '0.4758'}
