Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.5412', 'grad_norm': '15.12', 'learning_rate': '8.501e-06', 'epoch': '0.3725'}
{'loss': '0.5051', 'grad_norm': '23.22', 'learning_rate': '8.483e-06', 'epoch': '0.3762'}
{'loss': '0.517', 'grad_norm': '6.222', 'learning_rate': '8.464e-06', 'epoch': '0.3799'}
{'loss': '0.4962', 'grad_norm': '9.211', 'learning_rate': '8.446e-06', 'epoch': '0.3836'}
{'loss': '0.5234', 'grad_norm': '8.231', 'learning_rate': '8.427e-06', 'epoch': '0.3873'}
{'loss': '0.472', 'grad_norm': '7.135', 'learning_rate': '8.409e-06', 'epoch': '0.391'}
{'loss': '0.5205', 'grad_norm': '6.215', 'learning_rate': '8.39e-06', 'epoch': '0.3947'}
{'loss': '0.4803', 'grad_norm': '14.32', 'learning_rate': '8.372e-06', 'epoch': '0.3983'}
{'loss': '0.4755', 'grad_norm': '27.74', 'learning_rate': '8.353e-06', 'epoch': '0.402'}
{'loss': '0.4766', 'grad_norm': '13.44', 'learning_rate': '8.335e-06', 'epoch': '0.4057'}
{'eval_loss': '0.468', 'eval_wer': '0.3379', 'eval_runtime': '34.17', 'eval_samples_per_second': '41.76', 'eval_steps_per_second': '5.239', 'epoch': '0.4057'}
{'loss': '0.5049', 'grad_norm': '18.32', 'learning_rate': '8.316e-06', 'epoch': '0.4094'}
{'loss': '0.4643', 'grad_norm': '9.984', 'learning_rate': '8.298e-06', 'epoch': '0.4131'}
{'loss': '0.4461', 'grad_norm': '9.071', 'learning_rate': '8.279e-06', 'epoch': '0.4168'}
{'loss': '0.408', 'grad_norm': '13.97', 'learning_rate': '8.261e-06', 'epoch': '0.4205'}
{'loss': '0.4545', 'grad_norm': '5.478', 'learning_rate': '8.242e-06', 'epoch': '0.4242'}
{'loss': '0.4605', 'grad_norm': '21.92', 'learning_rate': '8.224e-06', 'epoch': '0.4279'}
{'loss': '0.4569', 'grad_norm': '21.47', 'learning_rate': '8.205e-06', 'epoch': '0.4315'}
{'loss': '0.4517', 'grad_norm': '5.844', 'learning_rate': '8.187e-06', 'epoch': '0.4352'}
{'loss': '0.4403', 'grad_norm': '6.933', 'learning_rate': '8.168e-06', 'epoch': '0.4389'}
{'loss': '0.4393', 'grad_norm': '5.654', 'learning_rate': '8.15e-06', 'epoch': '0.4426'}
{'eval_loss': '0.4283', 'eval_wer': '0.3203', 'eval_runtime': '24.05', 'eval_samples_per_second': '59.33', 'eval_steps_per_second': '7.442', 'epoch': '0.4426'}
